name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;java-automatalib-old-runtime;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;0.17;0.0943759;0.0419561; 0.0467278000; 0.0002394000; False; 0.0928512000; 0.2513680000;0.03; 0.026068; 0.011464; 0.002655; 0.001487; 1.3e-05; false; 0.044501;0.05; 0.026843; 0.010922;0.001513; 0.009619; 0.013362; 0.003555; false; 0.068217;0.05; 0.018476; 0.010255;0.000259; 0.006638; 0.011199; 0.003138; false; 0.05323;ERR;1.14; 0.0401; 0.0000; 0.0093; 0.0021; 0.0001; False; 0.0116; 0.0526;3.94; 0.0277; 0.0018; 2.9477; 0.1168; 0.0003; False; 3.0649; 3.0947;TO;TO;1.22;0.037870777; 0.055986568; 2.3035E-5; false; 0.062639387; 0.203116806
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;0.28;0.0781326;0.0096604; 0.1375399000; 0.0003201000; False; 0.1502250000; 0.2861843000;0.08; 0.051337; 0.016475; 0.011355; 0.006664; 2.3e-05; false; 0.088116;0.17; 0.050377; 0.015189;0.002728; 0.050755; 0.069855; 0.000393; false; 0.191184;0.17; 0.051253; 0.015487;0.00045799999999999997; 0.030736; 0.05702; 0.016451; false; 0.174317;ERR;1.27; 0.0865; 0.0000; 0.0550; 0.0143; 0.0003; False; 0.0697; 0.1566;46.73; 0.0469; 0.0042; 46.3554; 1.9343; 0.0010; False; 48.2908; 48.3421;TO;TO;1.75;0.036540432; 0.262969648; 4.5534E-5; false; 0.2703341; 0.467313861
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;27.52;0.389668;0.0127605; 28.3974416000; 0.0002610000; False; 28.4145231000; 28.8861269000;2.01; 0.400783; 0.087274; 1.13428; 0.660333; 0.00055; false; 2.30656;21.85; 0.521166; 0.13432;0.037467; 10.6132; 9.06461; 2.43587; false; 22.8237;20.58; 0.486495; 0.133521;0.005111; 7.29151; 9.95168; 2.11405; false; 20.0008;ERR;18.95; 0.6738; 0.0000; 15.2821; 4.0228; 0.0043; False; 19.3094; 19.9928;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;44.09;0.212944085; 20.442635525; 2.20333E-4; false; 20.465221604; 20.876934468
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;0.55;0.1439014;0.0348368; 0.3720237000; 0.0004302000; False; 0.4192899000; 0.6680594000;0.13; 0.079429; 0.023217; 0.02687; 0.016059; 3.3e-05; false; 0.148954;0.49; 0.079821; 0.024851;0.004763; 0.193696; 0.209936; 0.001065; false; 0.517555;0.4; 0.077027; 0.022865;0.00075; 0.083954; 0.158228; 0.044949; false; 0.391873;ERR;1.63; 0.1520; 0.0000; 0.1839; 0.0448; 0.0009; False; 0.2298; 0.3826;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;2.15;0.043883414; 0.390526769; 7.228E-5; false; 0.443061915; 0.686713628
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;0.69;0.0632951;0.0065959; 0.6055851000; 0.0003126000; False; 0.6157514000; 0.7322015000;0.2; 0.105015; 0.030775; 0.049565; 0.033322; 4.7e-05; false; 0.223141;0.72; 0.104275; 0.029262;0.00607; 0.298393; 0.325448; 0.001035; false; 0.768133;0.66; 0.10562; 0.03095;0.0010170000000000001; 0.166391; 0.285115; 0.064967; false; 0.659687;ERR;1.86; 0.1891; 0.0000; 0.3411; 0.0940; 0.0007; False; 0.4359; 0.6269;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;3.08;0.059489349999999996; 0.869445257; 4.7012E-5; false; 0.892166482; 1.146890027
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;1.06;0.1322234;0.0105662; 1.0813233000; 0.0004391000; False; 1.0973498000; 1.2962903000;0.26; 0.135541; 0.040947; 0.095763; 0.053497; 9.1e-05; false; 0.331784;1.25; 0.138355; 0.040457;0.00816; 0.682686; 0.630389; 0.001063; false; 1.50579;1.16; 0.129163; 0.035763;0.001296; 0.320812; 0.55415; 0.12397; false; 1.17146;ERR;2.07; 0.2010; 0.0000; 0.6161; 0.1510; 0.0010; False; 0.7683; 0.9728;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;3.61;0.046683949; 1.712974109; 5.0618E-5; false; 1.737017272; 1.979205149
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;1.6;0.1862005;0.014943699999999999; 2.1613104000; 0.0003092000; False; 2.1865063000; 2.5378281000;0.38; 0.161808; 0.04489; 0.152035; 0.071575; 9.3e-05; false; 0.43683;1.48; 0.155994; 0.042106;0.009187; 0.744658; 0.710198; 0.002098; false; 1.66921;1.29; 0.088254; 0.028356;0.000884; 0.369914; 0.61167; 0.183423; false; 1.28743;ERR;2.29; 0.1486; 0.0000; 0.9478; 0.2416; 0.0010; False; 1.1906; 1.3421;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;5.04;0.152302836; 1.790845236; 3.2062E-5; false; 1.814249065; 2.254391247
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;2.45;0.13818170000000002;0.0116337; 2.2705992000; 0.0003737000; False; 2.2874120000; 2.4861119000;0.45; 0.176083; 0.045883; 0.252158; 0.110816; 0.00013; false; 0.592349;2.52; 0.201919; 0.049859;0.011873; 1.59203; 1.21069; 0.00272; false; 3.07573;2.33; 0.169518; 0.047117;0.001475; 0.605503; 1.13101; 0.264265; false; 2.22652;ERR;2.31; 0.2070; 0.0000; 0.9270; 0.3199; 0.0008; False; 1.2478; 1.4579;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;6.05;0.136239318; 2.151619235; 4.2317E-5; false; 2.158802927; 2.454234258
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;3.26;0.1372381;0.011555300000000001; 3.6716110000; 0.0016434000; False; 3.7036464000; 3.8966560000;0.58; 0.355686; 0.067803; 0.535656; 0.198921; 9.6e-05; false; 1.16938;3.3; 0.355303; 0.071763;0.013351; 2.52377; 1.64342; 0.004344; false; 4.61852;2.39; 0.205266; 0.05161;0.001071; 0.769602; 1.05483; 0.280658; false; 2.36928;ERR;2.9; 0.3610; 0.0000; 1.5124; 0.4517; 0.0010; False; 1.9651; 2.3277;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;7.23;0.079155218; 2.717268618; 3.3219E-5; false; 2.725229892; 2.966721366
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;3.7;0.1384526;0.010732100000000001; 3.8076668000; 0.0003541000; False; 3.8226927000; 4.0610713000;0.63; 0.226832; 0.054692; 0.286113; 0.139967; 0.000165; false; 0.717907;4.42; 0.255559; 0.067683;0.014339999999999999; 4.33315; 2.83039; 0.004196; false; 7.51598;3.38; 0.16372; 0.039536;0.0013340000000000001; 1.21674; 1.65089; 0.344583; false; 3.42334;ERR;3.9; 0.3635; 0.0000; 2.9326; 0.7292; 0.0035; False; 3.6657; 4.0518;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;9.28;0.065913535; 6.762252026; 7.7647E-5; false; 6.861014367; 7.133811156
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;5.57;0.1679726;0.0119979; 5.5301516000; 0.0003563000; False; 5.5470089000; 5.7728380000;0.62; 0.146921; 0.046012; 0.364204; 0.139725; 0.000117; false; 0.705467;4.33; 0.245218; 0.067175;0.015607; 2.64607; 2.07679; 0.001804; false; 5.06019;5.01; 0.287764; 0.074981;0.002626; 1.60466; 2.48013; 0.528966; false; 4.98938;ERR;4.79; 0.4216; 0.0000; 2.7238; 0.8398; 0.0023; False; 3.5661; 3.9904;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;10.74;0.126151788; 4.093639258; 4.8062E-5; false; 4.113843612; 4.514345829
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;7.0;0.1794155;0.010186699999999998; 8.4334866000; 0.0030678000; False; 8.4538433000; 8.6867583000;0.78; 0.165004; 0.063276; 0.459858; 0.208037; 0.000255; false; 0.90891;5.7; 0.26979; 0.072268;0.016281; 3.00717; 2.92772; 0.006108; false; 6.30934;4.91; 0.157206; 0.045871;0.001768; 1.56187; 2.48015; 0.632182; false; 4.88604;ERR;5.34; 0.5234; 0.0000; 3.5277; 0.9778; 0.0029; False; 4.5085; 5.0347;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;12.12;0.082085875; 4.51929899; 3.4997E-5; false; 4.526413855; 4.86118209
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-rhs.mata;10.2;0.1819529;0.0121115; 11.9328824000; 0.0018921000; False; 11.9563675000; 12.1950859000;1.13; 0.320933; 0.079341; 0.638867; 0.279685; 0.000257; false; 1.33611;7.28; 0.192505; 0.078934;0.022010000000000002; 4.36353; 2.76639; 0.770841; false; 8.20544;6.73; 0.311255; 0.07291;0.002765; 2.35367; 3.31854; 0.770221; false; 6.83936;ERR;7.17; 0.4647; 0.0000; 4.5918; 1.4636; 0.0064; False; 6.0619; 6.5370;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;15.22;0.14928791400000002; 6.586475659; 4.95E-5; false; 6.60870543; 6.993927198
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;11.55;0.2095551;0.0119442; 11.8402911000; 0.0014474000; False; 11.8630012000; 12.1339195000;1.72; 0.341334; 0.098775; 1.58959; 0.393886; 0.000418; false; 2.44814;9.42; 0.416374; 0.101882;0.027597999999999998; 5.08439; 4.15096; 0.89289; false; 10.6909;9.01; 0.363656; 0.082949;0.0033220000000000003; 3.31076; 4.54936; 0.939931; false; 9.26381;ERR;6.74; 0.4648; 0.0000; 4.3853; 1.3347; 0.0039; False; 5.7240; 6.1927;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;17.9;0.11520421; 8.367670071; 2.16909E-4; false; 8.411633493; 8.786988163
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;14.83;0.2242346;0.014056599999999999; 16.3592760000; 0.0042040000; False; 16.3881289000; 16.6861337000;1.54; 0.375846; 0.090015; 1.71627; 0.415216; 0.006354; false; 2.62382;11.02; 0.463334; 0.091778;0.027566; 6.57039; 4.84112; 1.12549; false; 13.134;8.43; 0.360677; 0.10374;0.0034660000000000003; 2.90286; 3.77729; 0.910941; false; 8.07344;ERR;8.76; 0.5391; 0.0000; 6.0039; 1.7129; 0.0064; False; 7.7233; 8.2677;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;21.02;0.172093036; 9.96857935; 4.6061E-5; false; 9.985493108; 10.356450785
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;15.77;0.2327658;0.0084597; 17.5023670000; 0.0011014000; False; 17.5185986000; 17.8378893000;1.23; 0.276267; 0.065652; 1.19592; 0.640232; 0.000343; false; 2.19586;11.05; 0.418975; 0.099552;0.024306; 6.79288; 3.84756; 1.10481; false; 12.3027;11.17; 0.383015; 0.090942;0.003368; 3.66746; 5.30178; 1.30392; false; 10.7631;ERR;10.5; 0.5727; 0.0000; 7.7127; 2.0667; 0.0088; False; 9.7884; 10.3738;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;22.96;0.145146008; 11.484830469; 5.64908E-4; false; 11.510712456; 11.940487985
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;19.15;0.3313002;0.0154456; 20.9549644000; 0.0011697000; False; 20.9871584000; 21.3830913000;1.87; 0.385112; 0.104189; 1.30795; 0.535866; 0.000424; false; 2.3566;13.52; 0.442403; 0.10485;0.032591; 7.35847; 5.1208; 1.58894; false; 14.665;11.91; 0.27366; 0.072544;0.0025830000000000002; 3.62215; 5.76242; 1.68819; false; 11.4346;ERR;10.31; 0.4469; 0.0000; 7.2366; 2.1864; 0.0084; False; 9.4315; 9.8887;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;26.58;0.12383797799999999; 12.067423864; 3.1378E-5; false; 12.09125523; 12.491972942
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;23.25;0.3717646;0.0118168; 25.3779841000; 0.0011655000; False; 25.3988366000; 25.8541769000;1.59; 0.276443; 0.072009; 1.09767; 0.535835; 0.000194; false; 1.99878;14.37; 0.30406; 0.11351;0.034347; 9.19969; 4.82301; 1.73101; false; 16.2231;14.3; 0.25366; 0.097458;0.002693; 4.91347; 7.00791; 1.48462; false; 13.7728;ERR;14.22; 0.6598; 0.0000; 10.3921; 3.0251; 0.0184; False; 13.4356; 14.1098;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;31.44;0.093482885; 13.373581609; 3.4089E-5; false; 13.391191157; 13.675739502
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;25.49;0.2947202;0.008182100000000001; 27.8737414000; 0.0033886000; False; 27.8930929000; 28.2550170000;2.22; 0.35055; 0.117891; 2.47582; 0.477222; 0.000338; false; 3.44959;19.33; 0.269936; 0.079587;0.034192; 11.2282; 8.02796; 1.73651; false; 21.397;19.57; 0.50083; 0.134262;0.005607; 6.8078; 9.32808; 2.30866; false; 19.1104;ERR;13.14; 0.4327; 0.0000; 9.7860; 2.8822; 0.0043; False; 12.6727; 13.1253;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;35.59;0.104886609; 16.33693637; 4.5166E-5; false; 16.359700296; 16.693046533
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;28.0;0.26654259999999996;0.0161721; 30.6052598000; 0.0010742000; False; 30.6312586000; 30.9960970000;3.26; 0.28602; 0.088045; 2.75635; 0.85128; 0.000506; false; 4.00509;20.4; 0.460981; 0.116447;0.030005999999999998; 11.4227; 7.63861; 2.48887; false; 22.1754;19.83; 0.526463; 0.127294;0.005351; 7.3945; 9.47164; 1.84968; false; 19.3975;ERR;16.72; 0.8192; 0.0000; 13.0303; 4.0119; 0.0025; False; 17.0447; 17.8869;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;40.23;0.138853485; 19.101375274; 5.7327E-5; false; 19.125818908; 19.547198387
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;0.29;0.0801034;0.0096643; 0.1426474000; 0.0002220000; False; 0.1566807000; 0.2902993000;0.08; 0.053099; 0.017639; 0.012601; 0.007584; 3.2e-05; false; 0.094108;0.2; 0.052908; 0.016823;0.0030020000000000003; 0.067241; 0.079708; 0.000472; false; 0.222689;0.16; 0.044571; 0.015666;0.00045799999999999997; 0.032225; 0.059253; 0.016882; false; 0.172128;ERR;1.45; 0.0965; 0.0000; 0.0889; 0.0170; 0.0005; False; 0.1065; 0.2037;47.72; 0.1110; 0.0092; 44.6562; 3.5134; 0.0019; False; 48.1719; 48.2929;TO;TO;1.69;0.030887283; 0.182214688; 2.9337E-5; false; 0.193737987; 0.332153224
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;29.16;0.2813081;0.0132918; 30.1680698000; 0.0008533000; False; 30.1892716000; 30.5296517000;2.26; 0.308554; 0.090543; 1.72882; 0.790701; 0.000319; false; 2.94213;21.72; 0.509007; 0.122449;0.03533; 11.7264; 7.96766; 2.47465; false; 22.855;20.17; 0.474785; 0.133694;0.004573000000000001; 6.43979; 9.31488; 2.73238; false; 19.1188;ERR;19.79; 0.7161; 0.0000; 19.8877; 4.1336; 0.0329; False; 24.0544; 24.7844;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;42.87;0.17789917; 19.124306966; 4.5593E-5; false; 19.143652095; 19.61257358
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;0.5;0.09445980000000001;0.0182935; 0.3618867000; 0.0003911000; False; 0.3964142000; 0.5775118000;0.08; 0.047844; 0.019671; 0.018921; 0.011567; 2.4e-05; false; 0.101081;0.4; 0.049958; 0.014354;0.003824; 0.15423; 0.196591; 0.000712; false; 0.422303;0.35; 0.068841; 0.020688;0.000675; 0.074569; 0.153271; 0.042828; false; 0.364803;ERR;1.49; 0.1461; 0.0000; 0.1560; 0.0396; 0.0007; False; 0.1965; 0.3432;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;2.51;0.05784638; 0.545844873; 3.6965E-5; false; 0.565064321; 0.762507497
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;0.55;0.09543;0.0084911; 0.3922423000; 0.0002568000; False; 0.4046403000; 0.5539310000;0.19; 0.104183; 0.030416; 0.049708; 0.029713; 4.2e-05; false; 0.218219;0.71; 0.104706; 0.029456;0.006174; 0.27568; 0.446682; 0.000978; false; 0.867799;0.59; 0.058327; 0.018912;0.00054; 0.098619; 0.327854; 0.101316; false; 0.608701;ERR;1.57; 0.1697; 0.0000; 0.3070; 0.0862; 0.0006; False; 0.3938; 0.5648;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;3.05;0.077282075; 0.927186248; 4.5939E-5; false; 0.936158526; 1.216149855
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;1.13;0.1117618;0.0100522; 1.1328763000; 0.0004470000; False; 1.1482356000; 1.3172024000;0.3; 0.146059; 0.043839; 0.106658; 0.060913; 9.9e-05; false; 0.364464;1.14; 0.142869; 0.039367;0.008133; 1.22347; 0.554285; 0.001603; false; 1.97545;0.98; 0.127925; 0.034784;0.001177; 0.249408; 0.454378; 0.115297; false; 0.988589;ERR;1.77; 0.1205; 0.0000; 0.4823; 0.1617; 0.0010; False; 0.6452; 0.7663;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;3.87;0.050773844; 1.117954004; 2.8982E-5; false; 1.125309453; 1.367541831
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;1.63;0.1187197;0.0102735; 1.5708104000; 0.0003204000; False; 1.5852453000; 1.7606072000;0.35; 0.158463; 0.038054; 0.118201; 0.067887; 6.6e-05; false; 0.388175;1.85; 0.156911; 0.03966;0.009634; 0.934689; 0.815498; 0.001577; false; 1.96487;1.58; 0.163591; 0.048299;0.001588; 0.839211; 1.05563; 0.211621; false; 2.32911;ERR;2.37; 0.2657; 0.0000; 1.0722; 0.2182; 0.0012; False; 1.2917; 1.5606;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;5.0;0.095230961; 1.653652181; 3.5256E-5; false; 1.661999222; 1.940305042
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;2.11;0.17607820000000002;0.0160095; 3.1015055000; 0.0017465000; False; 3.1367721000; 3.3940241000;0.26; 0.123419; 0.038858; 0.15561; 0.099269; 4.9e-05; false; 0.422238;2.22; 0.138747; 0.039641;0.006265; 1.19203; 1.17846; 0.003039; false; 2.56191;2.24; 0.174348; 0.049463;0.001645; 0.646855; 1.07665; 0.268545; false; 2.22486;ERR;2.73; 0.2981; 0.0000; 1.1487; 0.3241; 0.0016; False; 1.4746; 1.7737;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;6.26;0.179550847; 3.174693658; 6.2069E-5; false; 3.202554663; 3.794765888
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;3.25;0.16188;0.010353099999999999; 3.3189803000; 0.0003376000; False; 3.3336784000; 3.5522648000;0.56; 0.211934; 0.055483; 0.255662; 0.146217; 9.4e-05; false; 0.678376;3.16; 0.208485; 0.057447;0.014270000000000001; 1.8499; 1.45338; 0.003596; false; 3.59497;3.12; 0.201921; 0.058206;0.002013; 0.930525; 1.5032; 0.35669; false; 3.06277;ERR;3.36; 0.3271; 0.0000; 1.5490; 0.5272; 0.0023; False; 2.0787; 2.4076;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;7.63;0.079859654; 2.730961092; 3.7396E-5; false; 2.738628669; 3.00551646
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;3.58;0.1443313;0.0131952; 4.3192810000; 0.0051131000; False; 4.3527577000; 4.5522286000;0.7; 0.406807; 0.070366; 0.640857; 0.201951; 0.000182; false; 1.33098;4.02; 0.268165; 0.06157;0.014728000000000002; 2.62274; 2.08574; 0.003723; false; 5.06414;3.66; 0.186031; 0.042191;0.001364; 2.28373; 1.70419; 0.449999; false; 4.67452;ERR;3.35; 0.2058; 0.0000; 1.7725; 0.6186; 0.0020; False; 2.3932; 2.6046;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;9.25;0.09455177099999999; 3.6497674; 5.6495E-5; false; 3.665524048; 4.023908663
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;0.17;0.0862332;0.009625799999999999; 0.0460858000; 0.0003255000; False; 0.0602484000; 0.2032897000;0.03; 0.037264; 0.031613; 0.003077; 0.001499; 2e-05; false; 0.076604;0.07; 0.051729; 0.044632;0.0016719999999999999; 0.021355; 0.051719; 0.000213; false; 0.174056;0.05; 0.055964; 0.039265;0.000289; 0.007776; 0.012905; 0.004589; false; 0.124267;ERR;1.25; 0.0563; 0.0000; 0.0165; 0.0030; 0.0001; False; 0.0197; 0.0776;4.86; 0.0548; 0.0027; 3.6286; 0.2387; 0.0005; False; 3.8680; 3.9258;TO;TO;1.22;0.034130931; 0.047960309; 2.0761E-5; false; 0.054758253; 0.184344199
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;5.6;0.19749840000000002;0.0142875; 7.2620577000; 0.0003732000; False; 7.2861782000; 7.6033401000;0.54; 0.1736; 0.051204; 0.252667; 0.129174; 0.000275; false; 0.621803;5.52; 0.271764; 0.067897;0.018924; 4.26933; 2.58659; 0.002464; false; 7.22855;4.88; 0.262259; 0.063539;0.0023829999999999997; 1.55032; 2.48918; 0.584322; false; 4.96059;ERR;4.89; 1.4667; 0.0000; 3.3417; 0.8447; 0.0023; False; 4.1889; 5.6586;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;11.02;0.17722138399999998; 5.294450701; 6.3173E-5; false; 5.336387228; 6.040190237
