name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-compl;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.1; 0.0284521000;0.0169758; 0.0143612000; 0.0001767000; False; 0.0371524000; 0.1051369000;0.0; 0.000115; 2.7e-05; 5e-06; 2e-06; false; 0.00026;0.0; 0.000235; 4.3e-05; 1e-05; 5e-06; 2e-06; false; 0.000479;0.0; 0.000123; 2.3e-05; 5e-06; 1e-06; false; 0.000254;0.0; 5e-05; 4.1e-05; 8e-05; 3e-06; 2e-06; false; 0.000269;0.0; 9.8e-05; 1.4e-05; 0.000584; 0.000471; 3.5e-05; false; 0.002353;0.4; 7.9e-05; 6e-06; 2e-05; false; 0.000358;0.92; 0.0044; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0047;0.93; 0.0044; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0002; 0.0048;0.88; 0.0043; 0.0001; 0.0002; 0.0002; 0.0000; False; 0.0003; 0.0048;0.86; 0.055193056; 0.017186062; 0.001825553; false; 0.025645031; 0.139072087;0.8; 0.005481457; 0.010091899; 3.3785E-5; false; 0.017553903; 0.087721163
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.12; 0.0344006000;0.0086727; 0.0065167000; 0.0001729000; False; 0.0180138000; 0.1046946000;0.0; 0.000171; 2.9e-05; 7e-06; 2e-06; false; 0.000328;0.0; 8.2e-05; 4.6e-05; 1.5e-05; 8e-06; 1e-06; false; 0.000282;0.0; 8.6e-05; 2.4e-05; 6e-06; 2e-06; false; 0.000234;0.0; 8.5e-05; 5.8e-05; 3.8e-05; 5e-06; 4e-06; false; 0.000317;0.0; 0.000101; 1.1e-05; 0.000628; 0.000442; 3.3e-05; false; 0.002137;0.39; 0.000119; 5e-06; 1.9e-05; false; 0.000406;0.9; 0.0042; 0.0000; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0045;0.97; 0.0043; 0.0001; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0046;1.0; 0.0045; 0.0001; 0.0002; 0.0003; 0.0000; False; 0.0003; 0.0051;0.87; 0.04448055; 0.011931789; 0.002048477; false; 0.019751562; 0.114717813;0.86; 0.005827042; 0.001403227; 3.6394E-5; false; 0.006199823; 0.079319486
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.09; 0.0641244000;0.005543200000000001; 0.0042192000; 0.0001141000; False; 0.0116741000; 0.1203546000;0.0; 6e-05; 1.7e-05; 4e-06; 1e-06; false; 0.000173;0.0; 4.6e-05; 2.9e-05; 9e-06; 6e-06; 2e-06; false; 0.000172;0.0; 5.3e-05; 1.6e-05; 5e-06; 2e-06; false; 0.000172;0.0; 8.3e-05; 6.9e-05; 3.9e-05; 6e-06; 4e-06; false; 0.000352;0.0; 0.000116; 1.1e-05; 0.000631; 0.000402; 5.3e-05; false; 0.002115;0.34; 9.2e-05; 5e-06; 1.7e-05; false; 0.000364;0.97; 0.0044; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0046;0.98; 0.0048; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0002; 0.0051;0.97; 0.0054; 0.0001; 0.0002; 0.0003; 0.0000; False; 0.0003; 0.0060;0.83; 0.0554441; 0.010365173; 0.001563585; false; 0.016655209; 0.125104326;0.82; 0.003999945; 0.001446105; 1.5445E-5; false; 0.005885493; 0.05462395
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.1; 0.0271863000;0.0054659999999999995; 0.0038544000; 0.0001119000; False; 0.0112132000; 0.0853355000;0.0; 0.000185; 2.7e-05; 6e-06; 2e-06; false; 0.000343;0.0; 8.3e-05; 5e-05; 1.5e-05; 9e-06; 2e-06; false; 0.000275;0.0; 9.7e-05; 2.4e-05; 6e-06; 2e-06; false; 0.000246;0.0; 8.6e-05; 6e-05; 4e-05; 5e-06; 4e-06; false; 0.000324;0.0; 9.3e-05; 1e-05; 0.000612; 0.000449; 3.7e-05; false; 0.002123;0.37; 5.8e-05; 4e-06; 7e-06; false; 0.000243;0.99; 0.0042; 0.0000; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0044;0.95; 0.0043; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0002; 0.0046;0.98; 0.0045; 0.0001; 0.0002; 0.0003; 0.0000; False; 0.0004; 0.0051;0.86; 0.038758418; 0.0100286; 0.001329733; false; 0.015583801; 0.106726264;0.81; 0.004979627; 0.00219689; 2.846E-5; false; 0.00937976; 0.073302003
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.09; 0.0208306000;0.005953600000000001; 0.0043163000; 0.0001158000; False; 0.0123429000; 0.0863417000;0.0; 5.6e-05; 2.9e-05; 6e-06; 3e-06; false; 0.000207;0.0; 5.3e-05; 3.4e-05; 1.7e-05; 1e-05; 2e-06; false; 0.000229;0.0; 8.8e-05; 2.3e-05; 6e-06; 2e-06; false; 0.00026;0.0; 8.4e-05; 6.1e-05; 3.9e-05; 7e-06; 5e-06; false; 0.000348;0.0; 9.3e-05; 1.5e-05; 0.000642; 0.000488; 4.7e-05; false; 0.002274;0.39; 9.1e-05; 5e-06; 1.8e-05; false; 0.000354;0.93; 0.0042; 0.0000; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0044;0.91; 0.0045; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0002; 0.0049;1.02; 0.0067; 0.0002; 0.0003; 0.0004; 0.0001; False; 0.0006; 0.0076;0.92; 0.056696908; 0.01439232; 0.001891953; false; 0.022653926; 0.1462709;0.8; 0.004054196; 0.001724842; 3.0194E-5; false; 0.008890326; 0.05980906
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.1; 0.0251639000;0.0086179; 0.0065422000; 0.0001722000; False; 0.0181088000; 0.1232438000;0.0; 6.1e-05; 1.9e-05; 4e-06; 2e-06; false; 0.00017;0.0; 0.000114; 4.6e-05; 1.6e-05; 2.2e-05; 1e-06; false; 0.000308;0.0; 6.4e-05; 2e-05; 3e-06; 1e-06; false; 0.000191;0.0; 5.8e-05; 4.3e-05; 2.6e-05; 3e-06; 2e-06; false; 0.000224;0.0; 7.3e-05; 8e-06; 0.000402; 0.000311; 2.5e-05; false; 0.001437;0.4; 6.6e-05; 3e-06; 6e-06; false; 0.000237;0.98; 0.0042; 0.0000; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0044;0.94; 0.0043; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0046;0.98; 0.0044; 0.0001; 0.0002; 0.0002; 0.0000; False; 0.0003; 0.0049;0.88; 0.046692628; 0.011351438; 0.001397943; false; 0.016990035; 0.124855949;0.9; 0.004689459; 0.002053708; 1.9667E-5; false; 0.009086463; 0.074224867
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.08; 0.0228103000;0.005932799999999999; 0.0041580000; 0.0001233000; False; 0.0119036000; 0.0703325000;0.0; 0.000116; 2.7e-05; 5e-06; 2e-06; false; 0.000271;0.0; 7.5e-05; 4.2e-05; 1.3e-05; 8e-06; 2e-06; false; 0.00025;0.0; 5.5e-05; 1.5e-05; 4e-06; 1e-06; false; 0.000154;0.0; 0.00014; 6e-05; 3.7e-05; 6e-06; 4e-06; false; 0.00038;0.0; 9.2e-05; 1.2e-05; 0.000624; 0.000449; 3.6e-05; false; 0.002163;0.37; 8.9e-05; 5e-06; 9e-06; false; 0.000332;1.0; 0.0042; 0.0000; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0044;0.97; 0.0043; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0046;1.01; 0.0047; 0.0001; 0.0002; 0.0002; 0.0000; False; 0.0003; 0.0053;0.89; 0.042981626; 0.011549274; 0.00143135; false; 0.018273416; 0.108330992;0.81; 0.004081004; 0.001683823; 2.302E-5; false; 0.0078362; 0.062077206
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.1; 0.0287286000;0.0077025; 0.0051330000; 0.0001215000; False; 0.0153513000; 0.0863864000;0.0; 8.9e-05; 2.9e-05; 8e-06; 3e-06; false; 0.000292;0.0; 9.4e-05; 5e-05; 1.8e-05; 1.1e-05; 2e-06; false; 0.00034;0.0; 6e-05; 1.5e-05; 4e-06; 2e-06; false; 0.000179;0.0; 0.000106; 7.7e-05; 4e-05; 7e-06; 5e-06; false; 0.000392;0.0; 7.6e-05; 2.1e-05; 0.000667; 0.000484; 4.2e-05; false; 0.002228;0.4; 5.3e-05; 3e-06; 7e-06; false; 0.000232;0.98; 0.0042; 0.0000; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0044;0.94; 0.0043; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0045;0.9; 0.0047; 0.0001; 0.0002; 0.0002; 0.0000; False; 0.0003; 0.0052;0.84; 0.055679929; 0.015062408; 0.002150682; false; 0.024510486; 0.135934906;0.85; 0.005723452; 0.002414253; 2.9288E-5; false; 0.009748192; 0.07957133
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.1; 0.0275544000;0.0094865; 0.0068529000; 0.0001128000; False; 0.0189927000; 0.0906888000;0.0; 0.000169; 2.6e-05; 6e-06; 2e-06; false; 0.000383;0.0; 5.5e-05; 3.4e-05; 1.1e-05; 6e-06; 1e-06; false; 0.000204;0.0; 7.8e-05; 2.1e-05; 6e-06; 1e-06; false; 0.000238;0.0; 5.5e-05; 4.3e-05; 2.7e-05; 4e-06; 3e-06; false; 0.00024;0.0; 8.9e-05; 1.2e-05; 0.000606; 0.000472; 3.6e-05; false; 0.002166;0.39; 7.8e-05; 4e-06; 1e-05; false; 0.000333;0.98; 0.0043; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0046;0.96; 0.0042; 0.0001; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0045;0.96; 0.0044; 0.0001; 0.0002; 0.0002; 0.0000; False; 0.0003; 0.0049;0.88; 0.044957585; 0.013253336; 0.002066581; false; 0.021140008; 0.119263218;0.89; 0.004005521; 0.002240034; 2.653E-5; false; 0.009357084; 0.065562414
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.08; 0.0215819000;0.0054692; 0.0040471000; 0.0001300000; False; 0.0114493000; 0.0656593000;0.0; 6.2e-05; 1.9e-05; 4e-06; 1e-06; false; 0.000181;0.0; 0.000108; 4.5e-05; 2.5e-05; 1e-05; 1e-06; false; 0.000325;0.0; 5.4e-05; 1.5e-05; 6e-06; 2e-06; false; 0.000174;0.0; 6.8e-05; 4.5e-05; 2.7e-05; 4e-06; 3e-06; false; 0.000256;0.0; 6.1e-05; 6e-06; 0.000385; 0.000275; 2.5e-05; false; 0.001316;0.38; 7.8e-05; 4e-06; 9e-06; false; 0.000347;0.93; 0.0042; 0.0000; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0044;1.03; 0.0043; 0.0001; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0046;0.93; 0.0044; 0.0001; 0.0002; 0.0002; 0.0000; False; 0.0003; 0.0049;0.85; 0.039011844; 0.010337236; 0.001307533; false; 0.01601897; 0.097795444;0.85; 0.004162311; 0.00166681; 2.061E-5; false; 0.007899187; 0.063263899
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-5.mata;0.13; 0.0364933000;0.009262399999999999; 0.0067166000; 0.0001641000; False; 0.0188821000; 0.1118181000;0.0; 5.5e-05; 1.8e-05; 4e-06; 1e-06; false; 0.000165;0.0; 5.6e-05; 3.3e-05; 1.2e-05; 7e-06; 1e-06; false; 0.000209;0.0; 5.3e-05; 1.4e-05; 4e-06; 1e-06; false; 0.000158;0.0; 0.000104; 5.6e-05; 3.6e-05; 5e-06; 4e-06; false; 0.000312;0.0; 8.9e-05; 8e-06; 0.000393; 0.000303; 3.4e-05; false; 0.001455;0.39; 8.5e-05; 5e-06; 9e-06; false; 0.000319;0.97; 0.0043; 0.0000; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0045;0.91; 0.0044; 0.0001; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0047;0.94; 0.0044; 0.0001; 0.0002; 0.0002; 0.0000; False; 0.0003; 0.0050;0.84; 0.04256911; 0.010854067; 0.001440144; false; 0.017366272; 0.110975303;0.83; 0.003990571; 0.001507818; 1.6369E-5; false; 0.006228495; 0.057307134
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-6.mata;0.1; 0.0333667000;0.009202799999999999; 0.0045285000; 0.0001445000; False; 0.0166721000; 0.1103410000;0.0; 5.4e-05; 1.8e-05; 4e-06; 2e-06; false; 0.000167;0.0; 8.8e-05; 4.5e-05; 1.6e-05; 9e-06; 2e-06; false; 0.000314;0.0; 8.2e-05; 2.1e-05; 6e-06; 2e-06; false; 0.000264;0.0; 8.4e-05; 5.6e-05; 3.7e-05; 5e-06; 4e-06; false; 0.000309;0.0; 5.6e-05; 7e-06; 0.000397; 0.000306; 2.4e-05; false; 0.00138;0.38; 8.7e-05; 5e-06; 1e-05; false; 0.00035;1.0; 0.0044; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0046;0.98; 0.0042; 0.0001; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0045;0.97; 0.0099; 0.0004; 0.0002; 0.0002; 0.0000; False; 0.0003; 0.0141;0.93; 0.043119338; 0.012165477; 0.001592667; false; 0.020195555; 0.110016504;0.89; 0.006542817; 0.002288942; 2.5603E-5; false; 0.009938005; 0.088319568
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-7.mata;0.07; 0.0206636000;0.0057358; 0.0039295000; 0.0001341000; False; 0.0119114000; 0.0681260000;0.0; 0.000104; 2.3e-05; 6e-06; 2e-06; false; 0.000264;0.0; 7.8e-05; 4.4e-05; 1.6e-05; 1e-05; 1e-06; false; 0.000302;0.0; 8.7e-05; 3.4e-05; 6e-06; 2e-06; false; 0.000259;0.0; 7.5e-05; 5.7e-05; 3.7e-05; 6e-06; 4e-06; false; 0.000314;0.0; 8.6e-05; 1e-05; 0.000583; 0.000401; 3.5e-05; false; 0.001988;0.39; 8.2e-05; 4e-06; 9e-06; false; 0.000313;0.97; 0.0042; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0044;0.96; 0.0043; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0046;0.97; 0.0052; 0.0002; 0.0002; 0.0003; 0.0000; False; 0.0004; 0.0059;0.87; 0.046737375; 0.010709326; 0.001474775; false; 0.017088477; 0.119030338;0.85; 0.004268922; 0.00150661; 1.6571E-5; false; 0.006093798; 0.059076549
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-8.mata;0.09; 0.0224523000;0.0063742; 0.0052937000; 0.0001408000; False; 0.0137171000; 0.0755308000;0.0; 0.000102; 2.4e-05; 1.6e-05; 2e-06; false; 0.000281;0.0; 5.6e-05; 3.4e-05; 1.2e-05; 7e-06; 1e-06; false; 0.000209;0.0; 8.2e-05; 2.2e-05; 7e-06; 2e-06; false; 0.00026;0.0; 7.2e-05; 4.4e-05; 3.3e-05; 4e-06; 3e-06; false; 0.000261;0.0; 8.7e-05; 9e-06; 0.000588; 0.000458; 3.4e-05; false; 0.002173;0.39; 8.8e-05; 5e-06; 1.1e-05; false; 0.000373;0.96; 0.0043; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0045;0.94; 0.0043; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0046;0.92; 0.0050; 0.0001; 0.0002; 0.0003; 0.0001; False; 0.0003; 0.0056;0.85; 0.061002314; 0.013071462; 0.001273734; false; 0.018790737; 0.127606217;0.85; 0.004018826; 0.001629073; 2.9908E-5; false; 0.006383601; 0.112105388
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-9.mata;0.07; 0.0210649000;0.005615; 0.0041710000; 0.0001112000; False; 0.0115930000; 0.0655125000;0.0; 0.000178; 2.6e-05; 5e-06; 2e-06; false; 0.000336;0.0; 0.000107; 4.4e-05; 4.7e-05; 9e-06; 2e-06; false; 0.000344;0.0; 7.6e-05; 2.2e-05; 6e-06; 2e-06; false; 0.000235;0.0; 7.8e-05; 6.6e-05; 3.5e-05; 7e-06; 5e-06; false; 0.000358;0.0; 8.7e-05; 1e-05; 0.000572; 0.00029; 2.5e-05; false; 0.001835;0.36; 7.5e-05; 5e-06; 9e-06; false; 0.0003;0.96; 0.0042; 0.0000; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0044;1.02; 0.0044; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0048;0.97; 0.0054; 0.0001; 0.0002; 0.0002; 0.0000; False; 0.0003; 0.0059;0.84; 0.042761597; 0.010648179; 0.001466458; false; 0.016859858; 0.109701929;0.8; 0.004189074; 0.001585423; 1.9371E-5; false; 0.006655363; 0.055668418
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03005-1.mata;0.09; 0.0224261000;0.0062582; 0.0043964000; 0.0001216000; False; 0.0134655000; 0.0753521000;0.0; 5.7e-05; 3.2e-05; 4e-06; 1e-06; false; 0.00018;0.0; 9.3e-05; 4.6e-05; 1.7e-05; 1.5e-05; 2e-06; false; 0.000341;0.0; 9e-05; 2.1e-05; 6e-06; 2e-06; false; 0.000269;0.0; 7.6e-05; 8.7e-05; 3.7e-05; 6e-06; 5e-06; false; 0.000345;0.0; 0.000105; 1e-05; 0.000617; 0.000479; 3.8e-05; false; 0.002227;0.37; 8.1e-05; 5e-06; 1.8e-05; false; 0.000343;0.98; 0.0043; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0045;1.02; 0.0043; 0.0000; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0045;0.96; 0.0047; 0.0001; 0.0002; 0.0003; 0.0000; False; 0.0003; 0.0052;0.82; 0.05739613; 0.015565993; 0.001223012; false; 0.021515278; 0.133949382;0.85; 0.005595892; 0.004154428; 3.4398E-5; false; 0.012161574; 0.092919817
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03140-1.mata;0.11; 0.0417244000;0.0098098; 0.0072978000; 0.0001741000; False; 0.0202073000; 0.1384101000;0.0; 5.6e-05; 1.8e-05; 4e-06; 1e-06; false; 0.000155;0.0; 8e-05; 4.5e-05; 1.4e-05; 9e-06; 1e-06; false; 0.000266;0.0; 8e-05; 2.1e-05; 6e-06; 2e-06; false; 0.000241;0.0; 5.5e-05; 4.2e-05; 2.5e-05; 3e-06; 2e-06; false; 0.00021;0.0; 9.3e-05; 1.4e-05; 0.000576; 0.000436; 3.5e-05; false; 0.002118;0.38; 0.000119; 5e-06; 1.1e-05; false; 0.000435;0.98; 0.0043; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0046;0.95; 0.0043; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0046;0.93; 0.0058; 0.0001; 0.0002; 0.0003; 0.0000; False; 0.0003; 0.0065;0.86; 0.042647772; 0.01278638; 0.00213879; false; 0.020928097; 0.114906866;0.82; 0.004331215; 0.001859149; 1.9324E-5; false; 0.009243977; 0.064636163
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-1.mata;0.08; 0.0224584000;0.0059769; 0.0042999000; 0.0001351000; False; 0.0124771000; 0.0719570000;0.0; 5.7e-05; 1.9e-05; 4e-06; 1e-06; false; 0.000167;0.0; 6.5e-05; 3.3e-05; 1.2e-05; 7e-06; 2e-06; false; 0.000245;0.0; 5.5e-05; 1.5e-05; 4e-06; 1e-06; false; 0.000165;0.0; 5.8e-05; 4.2e-05; 2.7e-05; 4e-06; 3e-06; false; 0.000247;0.0; 6.4e-05; 9e-06; 0.000431; 0.000335; 2.9e-05; false; 0.001557;0.4; 0.000118; 5e-06; 1.1e-05; false; 0.000401;0.98; 0.0042; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0044;0.95; 0.0042; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0045;0.91; 0.0046; 0.0001; 0.0002; 0.0002; 0.0000; False; 0.0003; 0.0052;0.75; 0.040779027; 0.010709271; 0.001994746; false; 0.018439042; 0.111659726;0.87; 0.004602019; 0.002095013; 2.671E-5; false; 0.010254562; 0.072625588
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-2.mata;0.12; 0.0342584000;0.0087668; 0.0062475000; 0.0002450000; False; 0.0177957000; 0.1089932000;0.0; 8.4e-05; 1.7e-05; 4e-06; 1e-06; false; 0.000191;0.0; 8.1e-05; 4.4e-05; 1.5e-05; 9e-06; 2e-06; false; 0.000331;0.0; 8e-05; 2.3e-05; 6e-06; 3e-06; false; 0.000249;0.0; 8.1e-05; 5.6e-05; 4e-05; 8e-06; 6e-06; false; 0.000363;0.0; 9.2e-05; 1e-05; 0.000664; 0.000445; 7e-05; false; 0.002261;0.38; 8.3e-05; 5e-06; 9e-06; false; 0.000342;0.99; 0.0042; 0.0000; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0044;1.01; 0.0066; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0002; 0.0070;0.98; 0.0062; 0.0002; 0.0003; 0.0004; 0.0001; False; 0.0005; 0.0070;0.9; 0.059146536; 0.014324329; 0.001692272; false; 0.021934954; 0.14680069;0.87; 0.004453962; 0.001448995; 1.6141E-5; false; 0.00606819; 0.056268509
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-3.mata;0.07; 0.0216138000;0.0056961; 0.0042488000; 0.0001148000; False; 0.0120559000; 0.0697606000;0.0; 7e-05; 2.7e-05; 5e-06; 2e-06; false; 0.000262;0.0; 5.5e-05; 3.3e-05; 1.1e-05; 6e-06; 1e-06; false; 0.000197;0.0; 6.7e-05; 1.5e-05; 1.4e-05; 1e-06; false; 0.000191;0.0; 5.7e-05; 8.7e-05; 2.7e-05; 4e-06; 4e-06; false; 0.000287;0.0; 8.7e-05; 8e-06; 0.000393; 0.000327; 2.3e-05; false; 0.001438;0.39; 0.000109; 5e-06; 9e-06; false; 0.000356;0.94; 0.0042; 0.0000; 0.0000; 0.0000; 0.0000; False; 0.0001; 0.0044;0.96; 0.0042; 0.0001; 0.0001; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0045;1.01; 0.0049; 0.0001; 0.0002; 0.0003; 0.0000; False; 0.0003; 0.0055;0.91; 0.05291624; 0.013954204; 0.001754202; false; 0.021799828; 0.130354705;0.88; 0.004837255; 0.001652268; 1.7813E-5; false; 0.006497162; 0.067572008
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-4.mata;0.08; 0.0222749000;0.005542200000000001; 0.0053369000; 0.0001091000; False; 0.0126017000; 0.0695919000;0.0; 0.0001; 2.5e-05; 6e-06; 2e-06; false; 0.000276;0.0; 7e-05; 3.4e-05; 1.2e-05; 6e-06; 1e-06; false; 0.000241;0.0; 7.4e-05; 2.1e-05; 5e-06; 2e-06; false; 0.000265;0.0; 5.9e-05; 4.3e-05; 2.8e-05; 5e-06; 3e-06; false; 0.000249;0.0; 0.000106; 1e-05; 0.000583; 0.000429; 3.4e-05; false; 0.00208;0.35; 0.000109; 5e-06; 1.1e-05; false; 0.000411;0.93; 0.0043; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0045;0.96; 0.0043; 0.0001; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0045;0.97; 0.0063; 0.0001; 0.0002; 0.0004; 0.0000; False; 0.0004; 0.0070;0.89; 0.054700486; 0.009716727; 0.001354875; false; 0.015378319; 0.129734684;0.87; 0.004271127; 0.001511131; 2.1717E-5; false; 0.006378276; 0.058166856
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-5.mata;0.1; 0.0223251000;0.005896599999999999; 0.0043988000; 0.0001072000; False; 0.0120596000; 0.0804128000;0.0; 5.7e-05; 1.8e-05; 3e-06; 1e-06; false; 0.000153;0.0; 8.8e-05; 4.1e-05; 1.1e-05; 6e-06; 1e-06; false; 0.000229;0.0; 5.3e-05; 1.5e-05; 4e-06; 1e-06; false; 0.000154;0.0; 6.2e-05; 4e-05; 2.6e-05; 3e-06; 2e-06; false; 0.000217;0.0; 6e-05; 7e-06; 0.000391; 0.00026; 2.2e-05; false; 0.001483;0.38; 8.3e-05; 6e-06; 9e-06; false; 0.000338;1.02; 0.0043; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0045;0.94; 0.0043; 0.0001; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0045;0.96; 0.0076; 0.0002; 0.0003; 0.0004; 0.0001; False; 0.0005; 0.0084;0.86; 0.038336595; 0.011015646; 0.00137455; false; 0.016809551; 0.098751695;0.87; 0.00429368; 0.001492796; 1.6094E-5; false; 0.006520069; 0.059059047
