name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;mona-compl;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-trim;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_17.0.mata;0.17; 0.0744943000;0.0059391; 0.0419980000; 0.0001279000; False; 0.0495869000; 0.1626033000;0.16; 0.150657; 0.025157; 0.000572; 6.6e-05; 3e-05; false; 0.17894;0.13; 0.114387; 0.028007; 0.002835; 0.000176; 2.5e-05; 1e-05; false; 0.148271;0.13; 0.114072; 0.029393; 0.000589; 6.1e-05; 3.1e-05; false; 0.146899;0.15; 0.100936; 0.04245; 0.012326; 0.005581; 0.00116; 0.001283; false; 0.167801;0.18; 0.150825; 0.044393; 0.000822; 0.00268; 0.000827; 0.000556; false; 0.202665;10.71; 0.14111; 0.058228; 0.000343; 2.3e-05; false; 1.55562;1.01; 0.1694; 0.0000; 0.0014; 0.0001; 0.0000; False; 0.0015; 0.1711;1.07; 0.1712; 0.0130; 0.0193; 0.0197; 0.0008; 0.0016; False; 0.0222; 0.2067;1.09; 0.1805; 0.0071; 0.0070; 0.0080; 0.0001; False; 0.0081; 0.1961;1.66; 0.153739922; 0.028168497; 0.002099698; false; 0.036630374; 0.30549332;1.45; 0.048428662; 0.033380394; 3.2213E-5; false; 0.040697782; 0.225597561
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.0.mata;0.15; 0.0617336000;0.005569999999999999; 0.0376781000; 0.0001176000; False; 0.0448311000; 0.1339476000;0.1; 0.090995; 0.022581; 0.000501; 6.7e-05; 3.4e-05; false; 0.116753;0.12; 0.101777; 0.024131; 0.001715; 0.000143; 2.1e-05; 1.9e-05; false; 0.130026;0.09; 0.081409; 0.030369; 0.000526; 8.7e-05; 3e-05; false; 0.115283;0.16; 0.128025; 0.038247; 0.008308; 0.004839; 0.001; 0.000971; false; 0.18544;0.14; 0.126386; 0.03267; 0.00071; 0.001852; 0.000765; 0.000501; false; 0.166054;8.48; 0.101535; 0.045908; 0.000305; 1.9e-05; false; 1.44284;0.92; 0.1250; 0.0000; 0.0013; 0.0001; 0.0000; False; 0.0014; 0.1266;0.94; 0.1259; 0.0087; 0.0130; 0.0133; 0.0007; 0.0012; False; 0.0151; 0.1500;1.04; 0.1374; 0.0078; 0.0103; 0.0120; 0.0001; False; 0.0121; 0.1576;1.52; 0.125694817; 0.022203535; 0.002262081; false; 0.030690512; 0.275252673;1.39; 0.048766795; 0.031029894; 4.5235E-5; false; 0.038771656; 0.200573289
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_127.0.mata;0.14; 0.0805051000;0.0053183; 0.0271238000; 0.0001373000; False; 0.0341367000; 0.1418155000;0.04; 0.048199; 0.010766; 0.000161; 3.2e-05; 1.2e-05; false; 0.060174;0.03; 0.033972; 0.010631; 0.000264; 5.5e-05; 1.1e-05; 5e-06; false; 0.045844;0.05; 0.05316; 0.010391; 0.000152; 2e-05; 7e-06; false; 0.064619;0.04; 0.03356; 0.01032; 0.000533; 0.000557; 0.000105; 0.000102; false; 0.046007;0.06; 0.055874; 0.010334; 0.0001; 0.000753; 0.000401; 0.000147; false; 0.069039;11.23; 0.045951; 0.025626; 0.001441; 1.3e-05; false; 6.84464;0.86; 0.0794; 0.0000; 0.0007; 0.0000; 0.0000; False; 0.0008; 0.0803;0.89; 0.0800; 0.0006; 0.0033; 0.0034; 0.0002; 0.0001; False; 0.0037; 0.0845;0.86; 0.0791; 0.0012; 0.0016; 0.0019; 0.0000; False; 0.0019; 0.0823;1.0; 0.068865383; 0.012118778; 0.001250689; false; 0.017445125; 0.142353671;0.92; 0.02452482; 0.010877564; 1.9335E-5; false; 0.016928568; 0.122390683
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_1657.0.mata;4.13; 3.8646050000;0.0056987; 0.2418928000; 0.0002481000; False; 0.2495398000; 4.1397423000;10.38; 9.37157; 2.24654; 0.035911; 0.000208; 0.00011; false; 11.6605;10.31; 9.36132; 2.24304; 0.00292; 9.4e-05; 1.4e-05; 2.1e-05; false; 11.6125;10.07; 9.42279; 1.89013; 0.045496; 0.000218; 8e-05; false; 11.3637;9.95; 9.35451; 1.87162; 0.014219; 0.083216; 0.003949; 0.003686; false; 11.3355;9.88; 9.14282; 1.88412; 0.0021; 0.167483; 0.002924; 0.002685; false; 11.2071;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_187.0.mata;0.48; 0.3632276000;0.0051945; 0.0514862000; 0.0001884000; False; 0.0586515000; 0.4593802000;0.82; 0.771261; 0.1556; 0.001322; 7e-05; 2e-05; false; 0.929358;0.8; 0.739201; 0.164741; 0.000675; 9.1e-05; 1.7e-05; 1.7e-05; false; 0.905827;0.78; 0.728865; 0.156395; 0.001731; 9.8e-05; 2.2e-05; false; 0.888273;0.76; 0.729768; 0.157852; 0.002255; 0.004982; 0.000654; 0.000658; false; 0.897185;0.79; 0.734585; 0.155883; 0.000382; 0.002083; 0.000818; 0.000567; false; 0.895849;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;5.39; 4.6907; 0.0000; 0.0025; 0.0001; 0.0000; False; 0.0026; 4.6936;5.44; 4.6805; 0.0035; 0.0559; 0.0564; 0.0007; 0.0019; False; 0.0590; 4.7432;5.4; 4.6934; 0.0026; 0.0179; 0.0189; 0.0001; False; 0.0190; 4.7152;5.97; 0.169200732; 0.015989041; 0.001598371; false; 0.022199542; 0.303286305;5.71; 0.036538639; 0.057019716; 3.6226E-5; false; 0.064996017; 0.225099125
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2207.0.mata;0.16; 0.0800122000;0.0053221; 0.0478399000; 0.0001257000; False; 0.0550383000; 0.1618407000;0.13; 0.135033; 0.027276; 0.001329; 6.5e-05; 1.8e-05; false; 0.164905;0.14; 0.130556; 0.027085; 0.000467; 5.6e-05; 1e-05; 8e-06; false; 0.159427;0.14; 0.137213; 0.026998; 0.001712; 6.8e-05; 1.8e-05; false; 0.167254;0.13; 0.115732; 0.027216; 0.001776; 0.004903; 0.000584; 0.000597; false; 0.151987;0.12; 0.114582; 0.026249; 0.000302; 0.001889; 0.000769; 0.000503; false; 0.145878;TO; 0.159778; 0.071601;MISSING;MISSING;MISSING;MISSING;1.11; 0.2669; 0.0000; 0.0024; 0.0001; 0.0000; False; 0.0025; 0.2696;1.15; 0.2703; 0.0024; 0.0524; 0.0527; 0.0007; 0.0017; False; 0.0552; 0.3281;1.23; 0.2856; 0.0041; 0.0353; 0.0371; 0.0001; False; 0.0372; 0.3272;1.55; 0.156826033; 0.014671803; 0.001301788; false; 0.020394189; 0.285318001;1.44; 0.027504451; 0.05466973; 3.2916E-5; false; 0.061728009; 0.182813121
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_2317.0.mata;0.26; 0.1874805000;0.0056364; 0.0483401000; 0.0001271000; False; 0.0562689000; 0.3005553000;0.36; 0.337921; 0.070242; 0.001556; 7e-05; 2.1e-05; false; 0.41075;0.36; 0.350263; 0.068884; 0.000527; 5.7e-05; 1e-05; 9e-06; false; 0.420587;0.35; 0.323226; 0.077681; 0.001961; 8.7e-05; 2e-05; false; 0.403908;0.36; 0.327381; 0.070287; 0.002132; 0.005575; 0.000626; 0.00064; false; 0.407445;0.35; 0.323923; 0.070169; 0.000366; 0.002141; 0.000885; 0.000594; false; 0.399507;TO; 0.421685; 0.230561;MISSING;MISSING;MISSING;MISSING;1.72; 0.9518; 0.0000; 0.0027; 0.0001; 0.0000; False; 0.0028; 0.9549;1.79; 0.9476; 0.0029; 0.0635; 0.0640; 0.0008; 0.0020; False; 0.0668; 1.0175;1.79; 0.9904; 0.0025; 0.0203; 0.0214; 0.0001; False; 0.0215; 1.0146;2.4; 0.161625035; 0.014691937; 0.001405165; false; 0.019960395; 0.274539638;2.25; 0.033473679; 0.062828298; 3.4611E-5; false; 0.07055786; 0.237555015
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_237.0.mata;0.1; 0.0329311000;0.0053931000000000005; 0.0281373000; 0.0001394000; False; 0.0351820000; 0.0952275000;0.01; 0.007309; 0.005291; 0.000117; 1.9e-05; 5e-06; false; 0.013526;0.0; 0.006817; 0.00518; 0.000156; 3.3e-05; 7e-06; 3e-06; false; 0.012972;0.01; 0.006936; 0.005243; 0.000128; 1.7e-05; 5e-06; false; 0.013074;0.01; 0.0105; 0.007408; 0.000296; 0.000417; 8.2e-05; 7.9e-05; false; 0.019621;0.02; 0.013111; 0.007862; 9.8e-05; 0.001105; 0.000623; 0.000188; false; 0.024838;1.19; 0.015897; 0.010825; 2.2e-05; 1e-05; false; 0.081939;0.89; 0.0334; 0.0000; 0.0006; 0.0000; 0.0000; False; 0.0006; 0.0343;0.9; 0.0189; 0.0003; 0.0020; 0.0021; 0.0001; 0.0002; False; 0.0025; 0.0218;0.91; 0.0363; 0.0012; 0.0028; 0.0033; 0.0001; False; 0.0033; 0.0411;0.98; 0.091370666; 0.011453575; 0.001332521; false; 0.016983111; 0.180808099;0.86; 0.016753585; 0.009601071; 2.5142E-5; false; 0.016252035; 0.102893892
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_276.0.mata;0.17; 0.0776459000;0.0057974; 0.0512348000; 0.0001214000; False; 0.0589114000; 0.1631336000;0.15; 0.142454; 0.027716; 0.001369; 7.5e-05; 2e-05; false; 0.172904;0.12; 0.11291; 0.027539; 0.000466; 6.1e-05; 1.5e-05; 8e-06; false; 0.142188;0.12; 0.11406; 0.027628; 0.001797; 0.000104; 2.4e-05; false; 0.145046;0.15; 0.132381; 0.035633; 0.001769; 0.004998; 0.000606; 0.000584; false; 0.177081;0.13; 0.119234; 0.024889; 0.000304; 0.001882; 0.000789; 0.000505; false; 0.149102;TO; 0.294509; 0.137312;MISSING;MISSING;MISSING;MISSING;0.99; 0.2547; 0.0000; 0.0022; 0.0001; 0.0000; False; 0.0023; 0.2572;1.06; 0.2550; 0.0023; 0.0520; 0.0524; 0.0007; 0.0017; False; 0.0548; 0.3123;1.03; 0.2554; 0.0020; 0.0171; 0.0180; 0.0000; False; 0.0181; 0.2756;1.54; 0.142284339; 0.01559914; 0.001317256; false; 0.02121453; 0.253352522;1.4; 0.030838382; 0.062350989; 3.1406E-5; false; 0.069474749; 0.215108997
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_297.0.mata;0.26; 0.1638721000;0.0051811999999999995; 0.0500732000; 0.0001101000; False; 0.0568186000; 0.2518981000;0.37; 0.349398; 0.064076; 0.001338; 6.7e-05; 8e-06; false; 0.415853;0.34; 0.317959; 0.065234; 0.000681; 6.1e-05; 1.1e-05; 1e-05; false; 0.384794;0.37; 0.350516; 0.064477; 0.001703; 6.6e-05; 8e-06; false; 0.417717;0.36; 0.331175; 0.063629; 0.00221; 0.004981; 0.000505; 0.000576; false; 0.40389;0.36; 0.330794; 0.064653; 0.000377; 0.001977; 0.000781; 0.000545; false; 0.400411;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;2.03; 1.2069; 0.0000; 0.0027; 0.0001; 0.0000; False; 0.0028; 1.2101;2.03; 1.1877; 0.0035; 0.0563; 0.0567; 0.0007; 0.0019; False; 0.0594; 1.2508;1.99; 1.2181; 0.0025; 0.0180; 0.0190; 0.0001; False; 0.0191; 1.2398;2.58; 0.15837901; 0.018285546; 0.002637042; false; 0.02504512; 0.303563687;2.4; 0.034801309; 0.063364796; 3.4767E-5; false; 0.071163501; 0.211377612
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_597.0.mata;0.27; 0.1428885000;0.0083995; 0.0753285000; 0.0001186000; False; 0.0897548000; 0.2939010000;0.27; 0.252551; 0.057288; 0.001384; 7.3e-05; 9e-06; false; 0.313932;0.27; 0.252384; 0.056827; 0.000468; 4.8e-05; 1.8e-05; 7e-06; false; 0.312223;0.3; 0.282015; 0.05397; 0.001685; 8.4e-05; 8e-06; false; 0.340317;0.3; 0.269977; 0.055438; 0.00178; 0.005077; 0.002006; 0.000652; false; 0.335996;0.3; 0.27363; 0.056258; 0.000307; 0.002196; 0.000993; 0.000536; false; 0.335759;TO; 0.36719; 0.205029;MISSING;MISSING;MISSING;MISSING;1.6; 0.9643; 0.0000; 0.0026; 0.0001; 0.0000; False; 0.0027; 0.9673;1.6; 0.8913; 0.0025; 0.0519; 0.0523; 0.0008; 0.0018; False; 0.0549; 0.9488;2.58; 1.5435; 0.0038; 0.0366; 0.0386; 0.0001; False; 0.0387; 1.5863;2.04; 0.174094667; 0.019447212; 0.002393515; false; 0.027865714; 0.305158998;2.17; 0.028584841; 0.054701584; 3.133E-5; false; 0.061730459; 0.195347639
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_657.0.mata;0.24; 0.1613622000;0.005639600000000001; 0.0481159000; 0.0001174000; False; 0.0567414000; 0.2573334000;0.35; 0.325824; 0.069037; 0.00159; 7.6e-05; 2.1e-05; false; 0.397522;0.35; 0.333296; 0.064171; 0.000528; 7.2e-05; 1.4e-05; 1.1e-05; false; 0.398971;0.34; 0.31568; 0.069645; 0.001959; 7.3e-05; 2e-05; false; 0.388349;0.34; 0.316384; 0.064073; 0.002168; 0.00549; 0.000623; 0.000636; false; 0.390228;0.36; 0.335954; 0.066407; 0.000368; 0.00222; 0.000977; 0.000604; false; 0.408275;TO; 0.464707; 0.257955;MISSING;MISSING;MISSING;MISSING;1.67; 0.9398; 0.0000; 0.0031; 0.0001; 0.0000; False; 0.0032; 0.9433;1.75; 0.9308; 0.0029; 0.0637; 0.0642; 0.0008; 0.0020; False; 0.0670; 1.0009;1.76; 0.9456; 0.0048; 0.0236; 0.0247; 0.0001; False; 0.0248; 0.9754;2.43; 0.146173292; 0.015439996; 0.004299687; false; 0.025107234; 0.270825074;2.2; 0.024941575; 0.064822619; 2.857E-5; false; 0.07140557; 0.195869425
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_670.0.mata;0.37; 0.2512151000;0.0047286; 0.0486393000; 0.0001147000; False; 0.0549055000; 0.3410419000;0.44; 0.40651; 0.088493; 0.00164; 9.3e-05; 8e-06; false; 0.49782;0.4; 0.375805; 0.085394; 0.000787; 6.6e-05; 1.1e-05; 5e-06; false; 0.463015;0.43; 0.401516; 0.091784; 0.002071; 9e-05; 9e-06; false; 0.496591;0.41; 0.37814; 0.085293; 0.002505; 0.00594; 0.000688; 0.000722; false; 0.474182;0.4; 0.383767; 0.084697; 0.000428; 0.002219; 0.000856; 0.000652; false; 0.474042;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.93; 1.2200; 0.0000; 0.0027; 0.0001; 0.0000; False; 0.0028; 1.2231;2.0; 1.2117; 0.0039; 0.0705; 0.0709; 0.0008; 0.0022; False; 0.0740; 1.2897;1.95; 1.2194; 0.0029; 0.0214; 0.0225; 0.0000; False; 0.0225; 1.2449;2.58; 0.179267556; 0.018249848; 0.002147612; false; 0.026832755; 0.32432414;2.39; 0.038220798; 0.060506766; 2.9451E-5; false; 0.066848474; 0.204261366
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_671.0.mata;0.29; 0.2002926000;0.0046543999999999995; 0.0490521000; 0.0001200000; False; 0.0554267000; 0.2824483000;0.39; 0.375146; 0.079312; 0.001681; 8.1e-05; 2.2e-05; false; 0.457478;0.39; 0.372164; 0.076278; 0.000773; 7.3e-05; 1.3e-05; 1.1e-05; false; 0.450451;0.39; 0.375698; 0.077587; 0.002068; 0.000102; 2.3e-05; false; 0.456764;0.4; 0.371893; 0.080442; 0.002583; 0.006585; 0.00068; 0.000677; false; 0.464004;0.43; 0.394828; 0.076647; 0.000438; 0.002205; 0.00087; 0.000623; false; 0.477197;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.94; 1.2248; 0.0000; 0.0028; 0.0001; 0.0000; False; 0.0029; 1.2280;2.05; 1.2248; 0.0039; 0.0707; 0.0711; 0.0008; 0.0022; False; 0.0741; 1.3030;2.02; 1.2372; 0.0030; 0.0213; 0.0224; 0.0001; False; 0.0225; 1.2629;2.63; 0.141128411; 0.015928196; 0.001550027; false; 0.023351582; 0.272261908;2.38; 0.029102775; 0.059292605; 3.8762E-5; false; 0.065980732; 0.184789823
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_673.0.mata;0.47; 0.3380466000;0.004652; 0.0491732000; 0.0001239000; False; 0.0556296000; 0.4229363000;0.9; 0.852079; 0.175901; 0.001642; 7.9e-05; 9e-06; false; 1.03093;0.89; 0.832705; 0.179632; 0.000793; 7e-05; 1.3e-05; 1.2e-05; false; 1.01442;0.93; 0.837151; 0.203167; 0.002082; 7.9e-05; 9e-06; false; 1.04381;0.93; 0.840908; 0.176286; 0.002543; 0.005918; 0.000612; 0.000688; false; 1.02803;0.91; 0.847852; 0.174586; 0.000443; 0.002214; 0.000865; 0.000612; false; 1.02818;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;5.33; 4.6945; 0.0000; 0.0028; 0.0001; 0.0000; False; 0.0029; 4.6976;5.46; 4.7358; 0.0040; 0.0717; 0.0721; 0.0008; 0.0024; False; 0.0754; 4.8153;5.39; 4.7411; 0.0029; 0.0211; 0.0221; 0.0000; False; 0.0222; 4.7664;5.95; 0.159734921; 0.013316892; 0.001511662; false; 0.01917374; 0.273494644;5.84; 0.026976458; 0.051125303; 2.6303E-5; false; 0.058307983; 0.199098064
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_678.0.mata;0.47; 0.3508391000;0.0047158; 0.0498098000; 0.0001222000; False; 0.0563205000; 0.4324620000;0.89; 0.826671; 0.173666; 0.001634; 8.2e-05; 2.3e-05; false; 1.00326;0.9; 0.846802; 0.178917; 0.000777; 6.7e-05; 1.2e-05; 1.3e-05; false; 1.02779;0.94; 0.887428; 0.180759; 0.002033; 7.8e-05; 2.2e-05; false; 1.07153;0.93; 0.866462; 0.177607; 0.002615; 0.006048; 0.000685; 0.000678; false; 1.05516;0.92; 0.872684; 0.177217; 0.000433; 0.002204; 0.000857; 0.000634; false; 1.05561;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;5.39; 4.6793; 0.0000; 0.0028; 0.0001; 0.0000; False; 0.0029; 4.6824;5.48; 4.7446; 0.0038; 0.0707; 0.0712; 0.0008; 0.0023; False; 0.0743; 4.8229;5.47; 4.7395; 0.0030; 0.0217; 0.0228; 0.0001; False; 0.0229; 4.7655;5.99; 0.151268888; 0.016606029; 0.001544138; false; 0.02363334; 0.286514915;6.11; 0.039228181; 0.06692064; 3.9852E-5; false; 0.075750004; 0.231704099
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_798.0.mata;11.64; 11.6471429000;0.0053806; 0.2227370000; 0.0001475000; False; 0.2297792000; 11.9059565000;19.8; 18.2902; 4.04667; 0.046415; 0.000255; 0.000114; false; 22.3918;19.85; 18.1802; 4.04003; 0.002591; 8.7e-05; 1.4e-05; 2.2e-05; false; 22.2283;20.26; 18.8329; 3.96353; 0.039955; 0.000202; 7.2e-05; false; 22.8419;19.78; 18.3075; 3.89145; 0.013272; 0.070953; 0.004074; 0.004061; false; 22.296;19.99; 18.3267; 3.96767; 0.001882; 0.1553; 0.002953; 0.002503; false; 22.4626;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested6_true-unreach-call.i_7.0.mata;0.11; 0.0354664000;0.0061711; 0.0335053000; 0.0001459000; False; 0.0416273000; 0.1090854000;0.01; 0.009327; 0.007347; 0.000404; 4.5e-05; 1.3e-05; false; 0.018398;0.01; 0.008747; 0.007681; 0.000347; 0.000184; 3.4e-05; 9e-06; false; 0.018463;0.01; 0.008493; 0.00706; 0.00033; 3.6e-05; 1.1e-05; false; 0.017233;0.01; 0.005709; 0.005203; 0.000486; 0.000816; 0.000179; 0.000168; false; 0.013436;0.02; 0.009874; 0.007942; 0.000198; 0.001563; 0.000815; 0.00038; false; 0.023221;0.88; 0.011368; 0.008749; 2.9e-05; 1.2e-05; false; 0.078396;0.92; 0.0166; 0.0000; 0.0010; 0.0000; 0.0000; False; 0.0011; 0.0178;0.96; 0.0141; 0.0005; 0.0048; 0.0050; 0.0003; 0.0003; False; 0.0056; 0.0204;0.95; 0.0140; 0.0010; 0.0022; 0.0026; 0.0001; False; 0.0026; 0.0177;1.09; 0.101952748; 0.020091815; 0.002205938; false; 0.028904974; 0.217805486;0.94; 0.028287475; 0.027202998; 3.3866E-5; false; 0.034635515; 0.164802256
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1070.0.mata;0.14; 0.0577455000;0.0063881; 0.0465879000; 0.0001810000; False; 0.0548654000; 0.1452434000;0.03; 0.031156; 0.008494; 0.000611; 6.2e-05; 9e-06; false; 0.041661;0.02; 0.018124; 0.008452; 0.000808; 0.000147; 2.1e-05; 1.3e-05; false; 0.028768;0.03; 0.027533; 0.008866; 0.000633; 4.6e-05; 9e-06; false; 0.038451;0.05; 0.033182; 0.013847; 0.003003; 0.004548; 0.001217; 0.001222; false; 0.059047;0.04; 0.030858; 0.01303; 0.000463; 0.00295; 0.00126; 0.000881; false; 0.052076;2.38; 0.022441; 0.011038; 7.3e-05; 1.6e-05; false; 0.472112;0.9; 0.0362; 0.0000; 0.0017; 0.0001; 0.0000; False; 0.0019; 0.0385;0.96; 0.0384; 0.0032; 0.0178; 0.0182; 0.0007; 0.0017; False; 0.0207; 0.0625;1.0; 0.0401; 0.0027; 0.0062; 0.0072; 0.0001; False; 0.0073; 0.0503;1.25; 0.11789451; 0.014524737; 0.001441665; false; 0.020415216; 0.225152365;1.2; 0.025380211; 0.031307503; 3.4204E-5; false; 0.037885562; 0.158448202
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1072.0.mata;0.16; 0.0873203000;0.005705; 0.0418255000; 0.0001479000; False; 0.0495502000; 0.1664975000;0.06; 0.058048; 0.013053; 0.000638; 4.8e-05; 2.2e-05; false; 0.073074;0.07; 0.061404; 0.013101; 0.00081; 0.000149; 2.2e-05; 1.1e-05; false; 0.076782;0.04; 0.04275; 0.01213; 0.000589; 3.9e-05; 2e-05; false; 0.056623;0.06; 0.056531; 0.012254; 0.001589; 0.002364; 0.0006; 0.000603; false; 0.075024;0.05; 0.042451; 0.012669; 0.000278; 0.001909; 0.000884; 0.000544; false; 0.060489;7.21; 0.070129; 0.0347; 0.000397; 1.5e-05; false; 2.5566;0.96; 0.0805; 0.0000; 0.0018; 0.0001; 0.0000; False; 0.0020; 0.0829;0.98; 0.0813; 0.0032; 0.0183; 0.0187; 0.0007; 0.0019; False; 0.0214; 0.1060;1.01; 0.0857; 0.0027; 0.0063; 0.0072; 0.0001; False; 0.0073; 0.0960;1.31; 0.125578863; 0.020146501; 0.001947767; false; 0.02818099; 0.264154249;1.16; 0.026186278; 0.03315195; 3.3006E-5; false; 0.038731008; 0.15544177
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1107.0.mata;0.2; 0.0872466000;0.0062180000000000004; 0.0655018000; 0.0001807000; False; 0.0738370000; 0.1956830000;0.17; 0.146372; 0.037172; 0.00147; 0.000231; 4.7e-05; false; 0.188051;0.2; 0.18611; 0.036774; 0.002676; 0.00039; 5.6e-05; 2.8e-05; false; 0.228742;0.17; 0.159623; 0.03724; 0.001497; 0.000199; 5.4e-05; false; 0.20147;0.2; 0.16227; 0.037234; 0.005616; 0.006144; 0.001613; 0.001576; false; 0.216636;0.18; 0.147364; 0.04092; 0.000936; 0.006164; 0.00179; 0.001418; false; 0.202665;24.25; 0.173091; 0.075842; 0.000612; 1.8e-05; false; 11.5124;1.09; 0.2417; 0.0000; 0.0029; 0.0001; 0.0000; False; 0.0031; 0.2451;1.2; 0.2489; 0.0177; 0.0716; 0.0725; 0.0017; 0.0084; False; 0.0826; 0.3496;1.15; 0.2481; 0.0070; 0.0153; 0.0174; 0.0001; False; 0.0175; 0.2730;1.8; 0.147682284; 0.019552913; 0.001788449; false; 0.027760425; 0.300823874;1.62; 0.05404212; 0.051444005; 3.134E-5; false; 0.058696064; 0.235819254
