                                                                    1st Quartile / Median / 3rd Quartile per op/bench                                                                     
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
benchop    mata           mata-old       mata-sim       awali          mona           vata           automata       brics          (j)alib        fado           (py)alib    (py)mata
---------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  ----------  -------------
compl/be   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.1, 0.1, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  60, 60, 60  0.0, 0.0, 0.0
deter/be   -              -              -              -              -              -              -              -              -              0.0, 0.0, 0.0  60, 60, 60  -
empti/be   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  60, 60, 60  0.0, 0.0, 0.0
fair-/be   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.1, 0.2, 0.2  0.1, 0.2, 0.2  0.1, 0.1, 0.2  0.0, 0.1, 0.1  60, 60, 60  0.0, 0.0, 0.0
inter/be   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  60, 60, 60  0.0, 0.0, 0.0
minte/be   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              -              -              -              -           -
overa/be   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.2, 0.2, 0.3  0.2, 0.2, 0.2  0.2, 0.2, 0.3  0.0, 0.1, 0.1  60, 60, 60  0.0, 0.0, 0.0
parsi/be   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.1, 0.1, 0.1  0.0, 0.0, 0.0  60, 60, 60  0.0, 0.0, 0.0
reduc/be   -              -              0.0, 0.0, 0.0  -              -              -              -              -              -              -              -           -
resul/be   60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60     60, 60, 60  60, 60, 60
runti/be   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.4, 0.5, 0.5  0.0, 0.0, 0.0  0.2, 0.2, 0.2  1.0, 1.1, 1.1  1.1, 1.1, 1.2  1.1, 1.2, 1.3  60, 60, 60  1.0, 1.1, 1.2
trans/be   -              -              -              0.0, 0.0, 0.0  -              0.0, 0.0, 0.0  -              -              -              0.0, 0.0, 0.0  60, 60, 60  0.0, 0.0, 0.0
trim/be    0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  -              -              0.0, 0.0, 0.0  -           0.0, 0.0, 0.0
union/be   0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1  60, 60, 60  0.0, 0.0, 0.0
